Primary Type,Location Description,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09
DANGEROUS WEAPONS,GROCERY/BODEGA,2.0,1.0,1.0,4.0,1.0,,3.0,2.0,1.0,5.0,2.0,2.0,3.0,5.0,3.0,1.0,2.0,1.0,6.0,2.0,5.0,3.0,7.0,2.0,,4.0,6.0,2.0,,1.0,3.0,2.0,6.0,5.0,,6.0,5.0,6.0,5.0,6.0,4.0,1.0,5.0,1.0,3.0,2.0,5.0,5.0,5.0,6.0,4.0,10.0,4.0,5.0,5.0,3.0,8.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,8.0,3.0,7.0,5.0,4.0,4.0,3.0,5.0,4.0,6.0,7.0,12.0,7.0,10.0,6.0,6.0,8.0
DANGEROUS WEAPONS,GYM/FITNESS FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,HIGHWAY/PARKWAY,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,2.0,1.0,,1.0,,1.0,,,1.0,,1.0,2.0,,1.0,2.0,1.0,1.0,,,1.0,,,1.0,3.0,,,,2.0,,1.0,,2.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,2.0,,4.0,
DANGEROUS WEAPONS,HOSPITAL,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,2.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,2.0,,,1.0,,3.0,,1.0
DANGEROUS WEAPONS,HOTEL/MOTEL,1.0,,,,,,1.0,,2.0,,1.0,,,,1.0,,,1.0,1.0,2.0,,1.0,,,2.0,,,,,1.0,,,2.0,,,,2.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,,2.0,3.0,,1.0,,1.0,,,,1.0,,,,,2.0,2.0,3.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,2.0,5.0,1.0,1.0
DANGEROUS WEAPONS,JEWELRY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,LIQUOR STORE,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,1.0,,1.0,,,,
DANGEROUS WEAPONS,MARINA/PIER,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
DANGEROUS WEAPONS,OPEN AREAS (OPEN LOTS),1.0,1.0,,1.0,1.0,,,,,,,,3.0,1.0,1.0,,3.0,1.0,1.0,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,1.0,3.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,2.0,2.0
DANGEROUS WEAPONS,OTHER,10.0,7.0,9.0,7.0,8.0,4.0,9.0,15.0,12.0,4.0,6.0,3.0,4.0,8.0,7.0,9.0,12.0,12.0,9.0,6.0,8.0,7.0,7.0,9.0,8.0,5.0,11.0,2.0,11.0,10.0,4.0,13.0,12.0,9.0,8.0,5.0,14.0,8.0,8.0,11.0,12.0,7.0,6.0,10.0,4.0,8.0,11.0,13.0,8.0,5.0,6.0,5.0,11.0,10.0,7.0,7.0,9.0,5.0,5.0,2.0,5.0,4.0,6.0,5.0,13.0,7.0,10.0,11.0,5.0,10.0,9.0,4.0,13.0,11.0,20.0,16.0,15.0,22.0,19.0,17.0,19.0
